"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","uri","duration_ms","time_signature"
"15987",0.561,0.111,8,-15.11,0,0.0324,0.871,0.205,0.103,0.0607,148.191,"2Iyfw8YfKruAagJwGc4G07","spotify:track:2Iyfw8YfKruAagJwGc4G07",191352,4
"26058",0.729,0.158,4,-14.276,0,0.0396,0.891,0.226,0.114,0.186,119.989,"7lDCYkJFf7QavdugML3h7X","spotify:track:7lDCYkJFf7QavdugML3h7X",169459,5
"28690",0.597,0.183,0,-15.574,0,0.0319,0.821,0.198,0.103,0.342,108.166,"7EDrSW40rkvj1O1l2pAcbJ","spotify:track:7EDrSW40rkvj1O1l2pAcbJ",344067,4
"22119",0.752,0.83,8,-3.187,0,0.0458,0.0651,0,0.105,0.442,124.952,"6vkEJP0K2rPfe0ucPnKkLd","spotify:track:6vkEJP0K2rPfe0ucPnKkLd",184820,4
"2925",0.74,0.828,10,-3.296,0,0.0787,0.0756,0,0.14,0.819,120.072,"15djITIu5osnO9yIT29r0Z","spotify:track:15djITIu5osnO9yIT29r0Z",209093,4
"39303",0.719,0.835,11,-3.4,1,0.0695,0.069,0,0.34,0.811,170.005,"1m456esVNSqr4zYYGmw8oi","spotify:track:1m456esVNSqr4zYYGmw8oi",135198,4
"11711",0.526,0.583,2,-8.395,1,0.0288,0.199,0,0.236,0.185,99.948,"7A6dLmPFJgKsdWi5QNKoKe","spotify:track:7A6dLmPFJgKsdWi5QNKoKe",111587,3
"27436",0.543,0.581,8,-8.532,1,0.0711,0.193,1.61e-05,0.117,0.299,109.769,"3FijoNKGof7pCn7oddecOQ","spotify:track:3FijoNKGof7pCn7oddecOQ",303661,4
"37743",0.749,0.594,6,-8.309,0,0.0697,0.187,0,0.103,0.0918,98.006,"31Lyg5aNZHgv6mVWH3eDqj","spotify:track:31Lyg5aNZHgv6mVWH3eDqj",142041,4
"24493",0.385,0.296,9,-19.203,1,0.0342,0.582,0,0.189,0.371,126.755,"7xqCVzflY7T2TjIwbSTTqB","spotify:track:7xqCVzflY7T2TjIwbSTTqB",208227,4
"32916",0.671,0.291,4,-18.758,1,0.0661,0.515,1.1e-05,0.174,0.371,115.244,"0K1GvYE8wp0jMTkpacis0I","spotify:track:0K1GvYE8wp0jMTkpacis0I",204000,4
"20709",0.563,0.324,9,-18.129,0,0.0364,0.576,0,0.965,0.618,144.151,"318S9DRPOPYHK3xnJwo1U6","spotify:track:318S9DRPOPYHK3xnJwo1U6",170680,4
"8161",0.676,0.716,5,-6.67,1,0.0308,0.247,0,0.216,0.87,82.21,"1apd2w0WZjWleojIKQ3RTI","spotify:track:1apd2w0WZjWleojIKQ3RTI",207595,4
"23817",0.676,0.709,11,-6.721,0,0.256,0.246,0,0.0727,0.655,176.022,"5wkqgqjbFpTCOrDnptVa5R","spotify:track:5wkqgqjbFpTCOrDnptVa5R",215455,4
"8129",0.683,0.715,1,-6.769,1,0.034,0.255,3.07e-05,0.0797,0.955,120.79,"6UxZKm9saAb59vwB8ijTIe","spotify:track:6UxZKm9saAb59vwB8ijTIe",160470,4
"29191",0.909,0.74,1,-2.361,1,0.26,0.0562,0,0.0593,0.802,97.855,"1RPhSs2lDYKjDsELKtPvQd","spotify:track:1RPhSs2lDYKjDsELKtPvQd",219840,4
"36706",0.776,0.733,7,-2.027,0,0.209,0.0278,3.89e-05,0.139,0.624,86.292,"2qLLUYIwTssREQE8I2W5oj","spotify:track:2qLLUYIwTssREQE8I2W5oj",92308,5
